id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","07539","65040801","202511170849","2568",3207,11184,538,465,534,1985,1166,878,345,1918,2061,521,143,632
"92a705c26f22754d7462e9f742436b6f","02401","26020306","202511160713","2568",2793,11379,651,525,3278,1579,475,414,593,697,1194,724,696,553
"92a705c26f22754d7462e9f742436b6f","06911","60020205","202511161620","2568",1265,3933,163,439,278,394,1202,264,145,153,326,214,267,88
"92a705c26f22754d7462e9f742436b6f","03349","33052808","202511180209","2568",2727,15574,827,3126,989,1063,1151,1235,834,861,1216,1828,1240,1204
"92a705c26f22754d7462e9f742436b6f","07540","65040802","202511170849","2568",1587,6163,453,522,335,623,457,793,893,446,579,377,358,327
"92a705c26f22754d7462e9f742436b6f","01218","14050602","202511160638","2568",1143,2388,78,107,94,1082,113,153,101,150,171,147,74,119
"92a705c26f22754d7462e9f742436b6f","03864","35040301","202511161753","2568",2650,13789,648,783,1071,2065,1878,1901,1149,998,940,1249,685,422
"92a705c26f22754d7462e9f742436b6f","03184","32170502","202511161701","2568",3969,15564,884,837,2377,1717,2448,1056,1184,1199,1464,1070,752,601
"92a705c26f22754d7462e9f742436b6f","13934","38050304","202511161043","2568",1153,4954,550,526,709,641,293,294,252,216,292,432,472,277
"92a705c26f22754d7462e9f742436b6f","07329","63050302","202511171731","2568",7562,29418,3136,2739,3978,2561,2657,2425,1529,1591,1746,3220,1538,2298
"92a705c26f22754d7462e9f742436b6f","01315","14121304","202511160638","2568",3201,12509,687,1388,774,808,3524,1057,637,592,641,1063,669,669
"92a705c26f22754d7462e9f742436b6f","03348","33050103","202511180209","2568",5804,35411,5490,2868,2829,3718,2925,2577,2308,2365,2531,2686,2571,2543
"92a705c26f22754d7462e9f742436b6f","06182","52060504","202511170654","2568",1759,6840,1389,799,631,588,367,335,381,498,421,604,469,358
"92a705c26f22754d7462e9f742436b6f","08562","76010606","202511162328","2568",4284,17496,1249,1360,1208,1430,1637,2651,1243,1159,1502,1289,1115,1653
"92a705c26f22754d7462e9f742436b6f","10911","31170110","202511152255","2568",16925,66736,5650,5598,5603,6075,5888,5610,4967,5364,5525,6109,5071,5276
"92a705c26f22754d7462e9f742436b6f","07449","64061306","202511170533","2568",1316,8369,486,1480,394,1027,932,465,423,730,715,550,715,452
"92a705c26f22754d7462e9f742436b6f","02947","31060401","202511152255","2568",3842,13176,525,1498,892,3305,647,677,441,715,1904,803,739,1041
"92a705c26f22754d7462e9f742436b6f","06025","50200201","202511152253","2568",5069,17797,884,1712,1360,1259,1712,2299,751,1224,2164,1960,1184,1288
"92a705c26f22754d7462e9f742436b6f","02547","30011302","202511160227","2568",5513,18947,1853,6407,764,1975,842,1088,794,962,1254,1086,1061,861
"92a705c26f22754d7462e9f742436b6f","03347","33042501","202511180209","2568",2038,8954,755,673,827,709,1039,697,599,777,813,984,487,594
"92a705c26f22754d7462e9f742436b6f","01624","18020703","202511161108","2568",2158,7696,1100,662,635,521,695,963,550,301,871,404,551,460
"92a705c26f22754d7462e9f742436b6f","05498","47060410","202511161920","2568",1659,4251,333,308,396,245,294,250,391,445,395,293,123,778
"92a705c26f22754d7462e9f742436b6f","07478","65010307","202511170849","2568",5777,18744,2508,1361,1179,2884,2321,1371,991,1415,1437,1274,1083,921
"92a705c26f22754d7462e9f742436b6f","09503","90060301","202511170434","2568",5157,16106,1456,3490,2693,1222,965,622,885,1064,1511,707,904,587
"92a705c26f22754d7462e9f742436b6f","06068","51020202","202511161857","2568",802,2570,242,392,238,258,257,221,197,164,361,239,1,0
"92a705c26f22754d7462e9f742436b6f","07160","62011105","202511162204","2568",3163,17778,1514,2740,1301,1726,1264,1128,1432,1803,1463,1315,1005,1087
"92a705c26f22754d7462e9f742436b6f","21556","76070703","202511162328","2568",996,5818,482,424,386,497,553,554,382,365,650,553,539,433
"92a705c26f22754d7462e9f742436b6f","01478","16031806","202511162058","2568",2244,7057,362,555,1983,1124,779,404,259,482,532,446,229,53
"92a705c26f22754d7462e9f742436b6f","05643","48031205","202511171443","2568",2052,6582,379,921,1522,248,468,821,212,284,315,890,283,239
"92a705c26f22754d7462e9f742436b6f","02460","27020605","202511161938","2568",2182,7225,494,521,721,986,554,473,594,521,556,1212,275,318
"92a705c26f22754d7462e9f742436b6f","08177","72011903","202511160509","2568",4288,9461,502,444,507,1138,692,960,716,1120,797,1183,738,666
"92a705c26f22754d7462e9f742436b6f","06731","57070308","202511161111","2568",5812,16810,979,1553,3261,1340,1334,1169,819,837,1344,845,2071,1261
"92a705c26f22754d7462e9f742436b6f","09754","92070402","202511170032","2568",2713,9755,572,855,1121,681,969,755,639,572,1630,532,1038,391
"92a705c26f22754d7462e9f742436b6f","05274","45170110","202511170333","2568",2076,7582,398,357,784,619,986,1673,320,383,848,405,391,418
"92a705c26f22754d7462e9f742436b6f","08580","76012407","202511162328","2568",1462,5793,325,411,731,507,684,541,270,378,516,631,367,432
"92a705c26f22754d7462e9f742436b6f","01720","19031606","202511161420","2568",1438,4542,286,343,394,229,376,274,395,310,445,468,610,417
