id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","11405","91050106","202411170305","2567",37565,159461,13586,14683,13574,14628,12802,12436,11530,13603,12518,13838,13457,12806
"92a705c26f22754d7462e9f742436b6f","01951","21030404","202411161956","2567",1403,5071,316,565,431,425,591,234,348,361,453,620,468,259
"92a705c26f22754d7462e9f742436b6f","15082","85010406","202411160632","2567",8239,22680,2148,2696,2044,4364,1584,1461,1168,1662,1387,1413,1443,1310
"92a705c26f22754d7462e9f742436b6f","06165","52050303","202411162229","2567",3936,14350,1115,2651,1668,1063,1198,1008,716,804,1049,1293,918,867
"92a705c26f22754d7462e9f742436b6f","09374","86020702","202411161528","2567",5660,15578,491,4608,1047,738,708,2149,966,673,1128,1532,701,837
"92a705c26f22754d7462e9f742436b6f","09637","91050305","202411170305","2567",4422,17232,948,1593,994,1135,779,768,706,1911,2346,1611,1599,2842
"92a705c26f22754d7462e9f742436b6f","01387","15040305","202411160939","2567",1975,4253,271,880,405,59,329,280,85,192,413,191,983,165
"92a705c26f22754d7462e9f742436b6f","08240","72050604","202411160310","2567",2310,4712,276,346,1246,218,175,175,132,170,235,243,275,1224
"92a705c26f22754d7462e9f742436b6f","06643","56080502","202411161833","2567",8078,23415,732,1793,1107,11062,1376,1306,584,647,1410,1932,644,852
"92a705c26f22754d7462e9f742436b6f","02031","22020501","202411160729","2567",143,1877,141,147,135,172,156,138,217,140,127,149,143,213
"92a705c26f22754d7462e9f742436b6f","04033","36090402","202411161317","2567",2607,10814,577,1170,1653,1186,1314,752,872,626,1083,753,0,829
"92a705c26f22754d7462e9f742436b6f","06404","54041205","202411161456","2567",2167,8644,584,1316,714,1018,760,616,535,494,596,689,846,484
"92a705c26f22754d7462e9f742436b6f","08158","72010704","202411160310","2567",2013,7097,404,872,1215,692,530,694,417,330,507,589,466,383
"92a705c26f22754d7462e9f742436b6f","09893","94010503","202411161514","2567",8019,22013,1791,1749,4271,3345,1177,1222,1132,790,1760,3185,1127,464
"92a705c26f22754d7462e9f742436b6f","01842","20040102","202411151959","2567",4382,12270,1109,781,1656,1540,670,965,700,573,957,1205,1289,825
"92a705c26f22754d7462e9f742436b6f","09669","92012007","202411152133","2567",2738,10264,1022,633,935,689,1175,1019,1107,904,750,734,743,553
"92a705c26f22754d7462e9f742436b6f","01390","15040509","202411160939","2567",2213,6193,311,462,413,764,1463,402,243,228,249,766,359,534
"92a705c26f22754d7462e9f742436b6f","09677","92020701","202411152133","2567",3512,8579,436,811,599,494,588,400,309,632,305,647,1190,2171
