id|hospcode|areacode|date_com|b_year|targetq1|resultq1|targetq2|resultq2|targetq3|resultq3|targetq4|resultq4|result2q1|result2q2|result2q3|result2q4|result3q1|result3q2|result3q3|result3q4
e131624eb3e5ed3f522262e055df1b2c|10757|12030103|202311131413|2566|7|5|4|3|6|6|6|5|0|0|0|0|0|0|0|0
e131624eb3e5ed3f522262e055df1b2c|10757|12030103|202411161538|2567|8|5|7|3|14|8|9|6|0|0|0|0|0|0|0|0
e131624eb3e5ed3f522262e055df1b2c|10757|12030103|202511161327|2568|8|4|9|1|7|4|11|3|0|0|0|0|0|0|0|0
e131624eb3e5ed3f522262e055df1b2c|10757|12030103|202604081053|2569|12|4|6|1|0|0|0|0|0|0|0|0|0|0|0|0
