id,hospcode,areacode,date_com,b_year,target,result,result10,result11,result12,result01,result02,result03,result04,result05,result06,result07,result08,result09
"92a705c26f22754d7462e9f742436b6f","09770","92100201","202311161718","2566",2214,7501,326,555,1032,626,278,1873,268,720,654,653,136,380
"92a705c26f22754d7462e9f742436b6f","10829","21030100","202311170840","2566",72264,274137,21749,23534,21778,21813,18386,23079,20089,24438,24837,24727,25017,24690
"92a705c26f22754d7462e9f742436b6f","04084","36140201","202311170229","2566",3357,13978,1294,2102,793,1840,743,734,886,711,1781,1179,1101,817
"92a705c26f22754d7462e9f742436b6f","02278","24090105","202311170756","2566",2711,7152,1708,499,511,886,533,399,397,409,548,457,445,360
"92a705c26f22754d7462e9f742436b6f","08127","71100504","202311170811","2566",848,3398,345,358,317,298,317,265,338,283,395,243,239,0
"92a705c26f22754d7462e9f742436b6f","08499","74030602","202311161845","2566",3605,11266,839,808,1790,1425,1075,1186,609,852,640,614,791,637
"92a705c26f22754d7462e9f742436b6f","08128","71100502","202311170811","2566",936,2540,324,352,305,177,194,108,134,97,202,290,254,103
"92a705c26f22754d7462e9f742436b6f","11095","47081209","202311161752","2566",61853,271262,20619,22264,20861,21285,20862,24738,20956,23456,25535,23518,24004,23164
"92a705c26f22754d7462e9f742436b6f","10610","64050410","202311170530","2566",1254,6769,587,814,833,973,598,455,261,511,417,315,474,531
"92a705c26f22754d7462e9f742436b6f","11210","60030404","202311161523","2566",29292,118199,10629,10982,10757,10946,10072,10989,7930,9860,9520,8864,9276,8374
"92a705c26f22754d7462e9f742436b6f","08302","72090802","202311161049","2566",5772,14759,2919,1261,2223,1256,1846,979,351,808,1358,864,388,507
"92a705c26f22754d7462e9f742436b6f","03812","34320101","202311151830","2566",2348,7383,378,271,289,1054,1445,773,413,306,489,1018,443,504
"92a705c26f22754d7462e9f742436b6f","03811","34310404","202311151830","2566",2189,9596,573,555,867,971,1520,988,546,856,838,729,621,532
"92a705c26f22754d7462e9f742436b6f","08126","71100403","202311170811","2566",749,1657,376,403,151,237,76,414,0,0,0,0,0,0
"92a705c26f22754d7462e9f742436b6f","10461","57130209","202311160526","2566",3808,14431,602,1960,1131,1595,822,742,1215,658,1461,2386,878,981
"92a705c26f22754d7462e9f742436b6f","05438","46170208","202311121443","2566",4164,17944,1502,1618,1722,2254,3491,871,846,951,1233,1799,866,791
"92a705c26f22754d7462e9f742436b6f","01897","20070805","202311131917","2566",15505,31268,1209,4049,3428,3778,3785,3683,1744,2057,2114,1830,1381,2210
"92a705c26f22754d7462e9f742436b6f","09275","84160204","202311160227","2566",3914,10624,580,1303,916,1279,997,795,356,1712,1221,691,272,502
"92a705c26f22754d7462e9f742436b6f","24678","83010400","202311161041","2566",38333,152972,11717,13641,12814,12582,11709,13140,11204,13109,13739,13986,15775,16433
"92a705c26f22754d7462e9f742436b6f","03810","34310403","202311151830","2566",3701,9680,613,488,2319,1091,1135,1423,1029,736,665,174,7,0
"92a705c26f22754d7462e9f742436b6f","11431","94120106","202311161307","2566",14052,55517,4152,4778,4075,4628,4329,4563,3818,4899,5354,5283,5300,4338
"92a705c26f22754d7462e9f742436b6f","04486","41010611","202310181509","2566",10182,32266,5221,3994,2600,2009,2350,2934,1764,3057,2613,1760,1822,2142
"92a705c26f22754d7462e9f742436b6f","14461","50190704","202311170656","2566",11776,23060,543,753,888,1949,1983,9545,1392,453,2768,1384,541,861
"92a705c26f22754d7462e9f742436b6f","11063","45040104","202311150419","2566",42755,191123,13055,12808,28744,14350,21899,14810,11761,14815,13219,16762,15374,13527
"92a705c26f22754d7462e9f742436b6f","03807","34310109","202311151830","2566",4428,13580,762,383,841,1674,549,740,3273,1284,1029,2058,558,429
"92a705c26f22754d7462e9f742436b6f","05888","50070903","202311170656","2566",4986,12051,614,622,1177,1064,1402,3178,516,826,757,515,578,802
"92a705c26f22754d7462e9f742436b6f","10830","21040201","202311170840","2566",24567,112693,8858,13731,8813,8693,7810,8700,7133,9389,9143,11052,10216,9163
"92a705c26f22754d7462e9f742436b6f","02277","24080507","202311170756","2566",4567,13443,765,866,871,1225,3393,1360,526,771,1138,1165,713,768
"92a705c26f22754d7462e9f742436b6f","03248","32120601","202311161528","2566",6839,25282,2464,3327,1607,4805,5174,890,656,1239,1415,2610,619,487
"92a705c26f22754d7462e9f742436b6f","03809","34310306","202311151830","2566",3884,10685,711,482,359,1674,1921,1415,1610,492,848,461,370,342
"92a705c26f22754d7462e9f742436b6f","04487","41010701","202310181509","2566",12200,30897,1739,3295,2659,8555,3813,2418,1522,1296,2373,2356,871,0
"92a705c26f22754d7462e9f742436b6f","04910","43160503","202311160535","2566",4537,14796,675,757,3731,2483,1623,1229,656,510,1287,535,880,430
"92a705c26f22754d7462e9f742436b6f","02863","30280501","202311090143","2566",1729,5869,425,442,470,541,342,420,306,1020,724,466,253,460
"92a705c26f22754d7462e9f742436b6f","99758","50190203","202311170656","2566",4090,7410,244,71,3032,120,1034,97,1280,163,653,408,201,107
"92a705c26f22754d7462e9f742436b6f","41623","20070803","202311131917","2566",5650,10536,893,858,782,708,749,801,868,1038,876,978,974,1011
"92a705c26f22754d7462e9f742436b6f","03808","34310201","202311151830","2566",4134,15216,616,687,1262,4036,1247,1115,1001,766,1240,1946,713,587
"92a705c26f22754d7462e9f742436b6f","04153","37060603","202311160717","2566",1804,6149,456,471,546,623,564,437,410,348,639,559,541,557
"92a705c26f22754d7462e9f742436b6f","03806","34300404","202311151830","2566",4873,17930,3106,3167,591,1863,526,1510,908,1427,2630,1102,640,460
"92a705c26f22754d7462e9f742436b6f","04152","37060502","202311160717","2566",1664,6264,380,452,829,409,560,760,322,403,691,579,498,381
